Lag [hours],IRC [-],ERF [-]
0.0,-0.012298847462678373,-0.012298847462678373
0.25,0.02636629158868448,0.014067444126006107
0.5,-0.018660221704592233,-0.004592777578586126
0.75,-0.0016175088200341956,-0.006210286398620321
1.0,0.00821191263752154,0.0020016262389012194
1.25,-0.007848559689172823,-0.005846933450271603
1.5,0.01649880285248333,0.010651869402211727
1.75,-0.028390017036924783,-0.017738147634713056
2.0,0.026055295276175703,0.008317147641462647
2.25,-0.010372861525462738,-0.002055713884000091
2.5,-0.001813833590918598,-0.0038695474749186887
2.75,0.002390005029750446,-0.0014795424451682425
3.0,0.0018197490349005938,0.0003402065897323513
3.25,-0.003886331203808297,-0.003546124614075946
3.5,0.005861981894080378,0.002315857280004432
3.75,-0.013219538925884755,-0.010903681645880323
4.0,0.01943436113083666,0.008530679484956338
4.25,-0.014972438904932932,-0.0064417594199765935
4.5,0.009492324762149007,0.0030505653421724135
4.75,-0.013573071316416004,-0.01052250597424359
5.0,0.014945530660583566,0.0044230246863399755
5.25,-0.006951525386567191,-0.002528500700227215
5.5,0.0012398467277155115,-0.0012886539725117036
5.75,0.0002542831713733765,-0.001034370801138327
6.0,-0.0021175512723426793,-0.0031519220734810066
6.25,0.002355505223245798,-0.0007964168502352085
6.5,0.0013451911508121895,0.000548774300576981
6.75,-0.0010651392570295928,-0.0005163649564526118
7.0,-0.0028246336937788373,-0.003340998650231449
7.25,-0.0022408328866423237,-0.005581831536873773
7.5,0.014017375743034183,0.008435544206160411
7.75,-0.01654537034727392,-0.00810982614111351
8.0,0.006716442244231863,-0.0013933838968816477
