Frequency [cpd],Components,Amplitude [nm/s**2],Phase [rad]
0.893244,Q1,0.006408882299730182,-2.900550774956909
0.929536,O1,0.022762787489021018,2.355991903954404
0.966446,M1,0.03802912462618888,1.4262866313089622
0.997262,P1,1.584591445917188,0.37469884541940496
1.0,S1,2.8705339442408393,-2.579537369007764
1.002738,K1,1.336070045152045,0.747606225671138
1.895982,N2,0.011974227680748647,2.858347598788256
1.932274,M2,0.0824550321900416,1.3668591188991706
2.0,S2,0.03463671174955892,0.7364577708882729
2.005476,K2,0.024204953333408784,2.9620349192157223
